fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
1,350,0.2009514970732581,16,5.586609677214635e-05,rmsprop,6,"[64, 128, 256, 256, 416, 416]",56,0.9682,0.96,0.9682,0.964
2,350,0.2009514970732581,16,5.586609677214635e-05,rmsprop,6,"[64, 128, 256, 256, 416, 416]",33,0.931,0.9192,0.931,0.9234
3,350,0.2009514970732581,16,5.586609677214635e-05,rmsprop,6,"[64, 128, 256, 256, 416, 416]",39,0.9487,0.9522,0.9487,0.9499
4,350,0.2009514970732581,16,5.586609677214635e-05,rmsprop,6,"[64, 128, 256, 256, 416, 416]",42,0.9552,0.9428,0.9552,0.9486
1,325,0.3053169506510688,16,0.000202641265504,rmsprop,3,"[16, 16, 176, 176, 368, 464]",31,0.8433,0.8698,0.8433,0.8548
2,325,0.3053169506510688,16,0.000202641265504,rmsprop,3,"[16, 16, 176, 176, 368, 464]",39,0.8026,0.8392,0.8026,0.8121
3,325,0.3053169506510688,16,0.000202641265504,rmsprop,3,"[16, 16, 176, 176, 368, 464]",50,0.8054,0.815,0.8054,0.8081
4,325,0.3053169506510688,16,0.000202641265504,rmsprop,3,"[16, 16, 176, 176, 368, 464]",45,0.8844,0.8819,0.8844,0.8797
1,275,0.4172296312835294,32,0.0003067214926361,rmsprop,4,"[16, 128, 224, 224, 224, 320]",67,0.9049,0.9055,0.9048,0.9022
2,275,0.4172296312835294,32,0.0003067214926361,rmsprop,4,"[16, 128, 224, 224, 224, 320]",44,0.8628,0.8763,0.8628,0.8629
3,275,0.4172296312835294,32,0.0003067214926361,rmsprop,4,"[16, 128, 224, 224, 224, 320]",38,0.8805,0.8834,0.8805,0.8801
4,275,0.4172296312835294,32,0.0003067214926361,rmsprop,4,"[16, 128, 224, 224, 224, 320]",47,0.9021,0.9021,0.9021,0.9016
1,450,0.4452277308408225,32,1.401315009910741e-05,adam,3,"[32, 96, 256, 256, 256, 256]",120,0.8566,0.8873,0.8566,0.8683
2,450,0.4452277308408225,32,1.401315009910741e-05,adam,3,"[32, 96, 256, 256, 256, 256]",94,0.7628,0.7857,0.7628,0.7689
3,450,0.4452277308408225,32,1.401315009910741e-05,adam,3,"[32, 96, 256, 256, 256, 256]",63,0.7544,0.742,0.7544,0.7445
4,450,0.4452277308408225,32,1.401315009910741e-05,adam,3,"[32, 96, 256, 256, 256, 256]",96,0.8638,0.8445,0.8638,0.8519
1,450,0.4376363619403288,8,8.348926769267015e-05,rmsprop,3,"[48, 112, 176, 208, 208, 208]",26,0.8888,0.8755,0.8888,0.8815
2,450,0.4376363619403288,8,8.348926769267015e-05,rmsprop,3,"[48, 112, 176, 208, 208, 208]",33,0.8402,0.8609,0.8402,0.8473
3,450,0.4376363619403288,8,8.348926769267015e-05,rmsprop,3,"[48, 112, 176, 208, 208, 208]",51,0.8834,0.8831,0.8834,0.8827
4,450,0.4376363619403288,8,8.348926769267015e-05,rmsprop,3,"[48, 112, 176, 208, 208, 208]",34,0.8792,0.8768,0.8792,0.8766
1,325,0.482482557867576,8,0.0004351143273119,rmsprop,5,"[48, 96, 160, 192, 320, 512]",38,0.9628,0.9556,0.9628,0.9582
2,325,0.482482557867576,8,0.0004351143273119,rmsprop,5,"[48, 96, 160, 192, 320, 512]",28,0.9308,0.9237,0.9308,0.9268
3,325,0.482482557867576,8,0.0004351143273119,rmsprop,5,"[48, 96, 160, 192, 320, 512]",22,0.9329,0.947,0.9329,0.9378
4,325,0.482482557867576,8,0.0004351143273119,rmsprop,5,"[48, 96, 160, 192, 320, 512]",31,0.957,0.9378,0.957,0.9463
1,400,0.2867306710052174,16,0.0004873883691612,rmsprop,6,"[48, 96, 160, 192, 384, 512]",24,0.9747,0.9782,0.9746,0.9761
